Marker,Sample Name,Lysate,Library,ReadsRaw,ReadsL35,ReadsMapped,ReadsDeduped,%Hominin,UniqueHominin,DuplicationRate,5CT,3CT,5CT_95CI,3CT_95CI,Ancient,ReadsDeam,H_support,H_support_deam,N-HST_support,N-HST_support_deam,N_support,N_support_deam,HST_support,HST_support_deam,D_support,D_support_deam,S_support,S_support_deam,D-S_support,D-S_support_deam
M267 ,SP.A.7758,Lys.A.1542,Lib.G.794,1518934,1003746,307323,36611,12.41,571,1.74,27.8,18.4,21.0-35.5,12.5-25.6,Yes,111,**98.1% (52 / 53),**100.0% (9 / 9),0.0% (0 / 29),0.0% (0 / 8),0.0% (0 / 41),0.0% (0 / 11),0.0% (0 / 43),0.0% (0 / 8),1.8% (2 / 112),8.7% (2 / 23),0.0% (0 / 85),0.0% (0 / 9),2.1% (3 / 145),2.8% (1 / 36)
M266 ,SP.A.7757,Lys.A.1541,Lib.G.793,1546768,1026649,322901,35078,15.8,607,1.66,32.6,16.7,25.6-40.1,11.5-23.1,Yes,111,**96.1% (49 / 51),**83.3% (5 / 6),0.0% (0 / 47),0.0% (0 / 11),0.0% (0 / 27),0.0% (0 / 2),0.0% (0 / 48),0.0% (0 / 7),1.0% (1 / 105),4.5% (1 / 22),0.0% (0 / 77),0.0% (0 / 18),0.8% (1 / 127),0.0% (0 / 16)
M266 ,SP.A.7757,Lys.A.1541,Lib.G.793,182389,37153,6770,4820,21.32,29,1.07,36.4,12.5,10.9-69.2,0.3-52.7,No,5,**100.0% (5 / 5),NA% (0 / 0),0.0% (0 / 2),0.0% (0 / 1),0.0% (0 / 4),NA% (0 / 0),0.0% (0 / 8),NA% (0 / 0),0.0% (0 / 5),0.0% (0 / 2),0.0% (0 / 3),NA% (0 / 0),0.0% (0 / 8),NA% (0 / 0)
M265 ,SP.A.7756,Lys.A.1540,Lib.G.792,184188,34472,5598,4043,25.17,36,1.25,20,0,0.5-71.6,0.0-97.5,No,4,100.0% (1 / 1),NA% (0 / 0),0.0% (0 / 4),0.0% (0 / 1),0.0% (0 / 3),NA% (0 / 0),0.0% (0 / 5),0.0% (0 / 1),0.0% (0 / 10),0.0% (0 / 2),0.0% (0 / 9),NA% (0 / 0),0.0% (0 / 11),0.0% (0 / 1)
M265 ,SP.A.7756,Lys.A.1540,Lib.G.792,1616691,1055815,314037,33580,10.59,440,2.47,22.2,14.6,15.1-30.8,8.9-22.1,No,65,**100.0% (42 / 42),**100.0% (6 / 6),0.0% (0 / 33),0.0% (0 / 6),0.0% (0 / 29),0.0% (0 / 6),0.0% (0 / 35),0.0% (0 / 5),0.0% (0 / 87),0.0% (0 / 15),2.3% (1 / 43),0.0% (0 / 5),0.8% (1 / 123),0.0% (0 / 16)
M264 ,SP.A.7755,Lys.A.1539,Lib.G.791,1919802,1301931,384490,38553,16.6,847,1.91,42.2,17.1,35.9-48.7,12.3-22.9,Yes,217,**97.0% (64 / 66),**94.1% (16 / 17),0.0% (0 / 72),0.0% (0 / 18),1.8% (1 / 57),6.2% (1 / 16),1.4% (1 / 71),0.0% (0 / 14),0.0% (0 / 151),0.0% (0 / 35),0.8% (1 / 120),4.8% (1 / 21),0.6% (1 / 174),2.1% (1 / 47)
M264 ,SP.A.7755,Lys.A.1539,Lib.G.791,210690,45434,7686,5442,15.87,33,1.09,33.3,22.2,9.9-65.1,2.8-60.0,No,10,**100.0% (6 / 6),100.0% (2 / 2),0.0% (0 / 3),0.0% (0 / 2),0.0% (0 / 3),NA% (0 / 0),50.0% (1 / 2),NA% (0 / 0),0.0% (0 / 5),0.0% (0 / 1),0.0% (0 / 10),0.0% (0 / 2),0.0% (0 / 10),0.0% (0 / 2)
M263 ,SP.A.7754,Lys.A.1538,Lib.G.790,195727,43878,6715,4773,4.67,5,1,0,NA,0.0-97.5,NA,No,0,NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0)
M263 ,SP.A.7754,Lys.A.1538,Lib.G.790,1183809,837642,238665,35146,1.33,55,1.42,54.5,26.7,23.4-83.3,7.8-55.1,No,15,100.0% (1 / 1),NA% (0 / 0),25.0% (1 / 4),50.0% (1 / 2),33.3% (1 / 3),0.0% (0 / 1),0.0% (0 / 3),NA% (0 / 0),28.6% (2 / 7),50.0% (1 / 2),0.0% (0 / 1),NA% (0 / 0),30.0% (3 / 10),**60.0% (3 / 5)
M263 ,SP.A.7754,Lys.A.1538,Lib.G.2777,6754089,5678787,1502072,39498,0,0,NA,NA,NA,NA,NA,No,0,NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0)
M262 ,SP.A.7753,Lys.A.1537,Lib.G.789,163428,30634,4874,3710,4.63,5,1,NA,0,NA,0.0-84.2,No,0,NA% (0 / 0),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0)
M262 ,SP.A.7753,Lys.A.1537,Lib.G.789,1550024,1036128,311411,36805,3.85,197,1.52,19.5,17.8,8.8-34.9,8.0-32.1,No,32,**60.0% (6 / 10),NA% (0 / 0),**28.6% (6 / 21),25.0% (1 / 4),**50.0% (6 / 12),0.0% (0 / 1),0.0% (0 / 17),0.0% (0 / 2),**23.7% (9 / 38),**71.4% (5 / 7),0.0% (0 / 22),0.0% (0 / 3),10.8% (4 / 37),27.3% (3 / 11)
M261 ,SP.A.7752,Lys.A.1536,Lib.G.788,1809164,1125165,378659,30246,3.45,131,3.94,43.3,32,25.5-62.6,14.9-53.5,Yes,26,**50.0% (3 / 6),0.0% (0 / 1),10.0% (1 / 10),33.3% (1 / 3),33.3% (1 / 3),100.0% (1 / 1),0.0% (0 / 11),0.0% (0 / 1),**46.4% (13 / 28),**80.0% (4 / 5),0.0% (0 / 14),0.0% (0 / 4),**32.0% (8 / 25),**60.0% (3 / 5)
M260 ,SP.A.7751,Lys.A.1535,Lib.G.787,1682473,920263,18443,89,100,60,226.87,0,10,0.0-16.8,0.3-44.5,No,1,100.0% (2 / 2),NA% (0 / 0),0.0% (0 / 5),NA% (0 / 0),0.0% (0 / 8),0.0% (0 / 1),0.0% (0 / 3),NA% (0 / 0),0.0% (0 / 14),NA% (0 / 0),0.0% (0 / 6),NA% (0 / 0),0.0% (0 / 10),NA% (0 / 0)
M259 ,SP.A.7750,Lys.A.1534,Lib.G.786,1637440,952136,218727,11373,10.1,106,18.71,6.2,3.8,0.2-30.2,0.1-19.6,No,2,**100.0% (12 / 12),NA% (0 / 0),0.0% (0 / 14),NA% (0 / 0),0.0% (0 / 6),NA% (0 / 0),0.0% (0 / 18),NA% (0 / 0),0.0% (0 / 17),NA% (0 / 0),0.0% (0 / 15),NA% (0 / 0),0.0% (0 / 24),NA% (0 / 0)
M258 ,SP.A.7749,Lys.A.1533,Lib.G.785,169663,34528,4851,3543,42.76,65,1.15,43.5,36.4,23.2-65.5,10.9-69.2,Yes,16,**100.0% (7 / 7),100.0% (2 / 2),10.0% (1 / 10),0.0% (0 / 2),0.0% (0 / 6),0.0% (0 / 1),0.0% (0 / 8),0.0% (0 / 1),0.0% (0 / 9),0.0% (0 / 4),0.0% (0 / 13),0.0% (0 / 2),0.0% (0 / 18),0.0% (0 / 5)
M258 ,SP.A.7749,Lys.A.1533,Lib.G.785,1959546,1314856,361235,34094,21.81,977,2.9,33.7,18.9,28.1-39.7,14.4-24.2,Yes,217,**94.4% (84 / 89),**100.0% (20 / 20),1.0% (1 / 102),0.0% (0 / 26),3.1% (2 / 64),0.0% (0 / 12),0.0% (0 / 82),0.0% (0 / 20),0.5% (1 / 183),0.0% (0 / 40),0.0% (0 / 136),0.0% (0 / 29),3.1% (7 / 226),1.8% (1 / 55)
M258 ,SP.A.7749,Lys.A.1533,Lib.G.2776,1504171,1219350,245602,17565,26.26,397,6.78,34.8,19.6,25.1-45.4,12.7-28.2,Yes,84,**100.0% (46 / 46),**100.0% (10 / 10),0.0% (0 / 32),0.0% (0 / 7),0.0% (0 / 29),0.0% (0 / 6),0.0% (0 / 25),0.0% (0 / 5),0.0% (0 / 106),0.0% (0 / 21),0.0% (0 / 70),0.0% (0 / 15),0.0% (0 / 99),0.0% (0 / 30)
M257 ,SP.A.7748,Lys.A.1532,Lib.G.784,292063,60297,8730,5347,39.02,103,1.21,25,12.1,8.7-49.1,3.4-28.2,No,20,**90.9% (10 / 11),**100.0% (2 / 2),10.0% (1 / 10),NA% (0 / 0),0.0% (0 / 7),0.0% (0 / 2),0.0% (0 / 10),0.0% (0 / 1),0.0% (0 / 21),0.0% (0 / 5),0.0% (0 / 21),0.0% (0 / 5),0.0% (0 / 23),0.0% (0 / 6)
M257 ,SP.A.7748,Lys.A.1532,Lib.G.784,1544048,1038286,286302,32363,18.53,816,2.73,32.7,15.9,26.4-39.5,11.5-21.2,Yes,170,**93.9% (92 / 98),**96.0% (24 / 25),2.4% (2 / 82),0.0% (0 / 24),1.8% (1 / 56),7.1% (1 / 14),0.0% (0 / 71),0.0% (0 / 16),0.6% (1 / 175),0.0% (0 / 39),0.0% (0 / 115),0.0% (0 / 34),2.7% (5 / 184),0.0% (0 / 35)
M256 ,SP.A.7747,Lys.A.1531,Lib.G.783,1519750,1023935,282128,33715,12.88,469,2.01,28.8,17.1,21.1-37.6,11.3-24.4,Yes,83,**97.6% (40 / 41),**100.0% (4 / 4),0.0% (0 / 42),0.0% (0 / 9),0.0% (0 / 18),0.0% (0 / 5),2.7% (1 / 37),0.0% (0 / 7),2.1% (2 / 95),0.0% (0 / 20),0.0% (0 / 60),0.0% (0 / 9),0.0% (0 / 100),0.0% (0 / 12)
M256 ,SP.A.7747,Lys.A.1531,Lib.G.783,284336,64680,10381,6494,21.27,47,1.09,8.3,26.3,0.2-38.5,9.1-51.2,No,10,**100.0% (6 / 6),NA% (0 / 0),0.0% (0 / 7),0.0% (0 / 1),0.0% (0 / 3),0.0% (0 / 2),0.0% (0 / 6),0.0% (0 / 1),0.0% (0 / 7),0.0% (0 / 2),0.0% (0 / 10),0.0% (0 / 1),0.0% (0 / 11),0.0% (0 / 1)
M255 ,SP.A.7746,Lys.A.1530,Lib.G.782,1472111,979998,289603,35315,8.24,307,2.02,34.7,22.6,25.3-45.2,14.2-33.0,Yes,75,**100.0% (31 / 31),**100.0% (6 / 6),0.0% (0 / 33),0.0% (0 / 6),0.0% (0 / 14),0.0% (0 / 2),3.6% (1 / 28),0.0% (0 / 6),0.0% (0 / 58),0.0% (0 / 14),0.0% (0 / 43),0.0% (0 / 6),5.1% (4 / 78),10.0% (2 / 20)
M255 ,SP.A.7746,Lys.A.1530,Lib.G.782,223167,45660,7277,5118,21.68,31,1.03,14.3,25,0.4-57.9,3.2-65.1,No,5,**100.0% (4 / 4),NA% (0 / 0),0.0% (0 / 3),NA% (0 / 0),0.0% (0 / 4),0.0% (0 / 1),25.0% (1 / 4),0.0% (0 / 1),0.0% (0 / 6),0.0% (0 / 2),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 8),NA% (0 / 0)
M254 ,SP.A.7745,Lys.A.1529,Lib.G.781,196760,39364,5493,4091,16.94,31,1.13,25,40,3.2-65.1,5.3-85.3,No,9,**100.0% (5 / 5),**100.0% (3 / 3),20.0% (1 / 5),50.0% (1 / 2),0.0% (0 / 3),0.0% (0 / 1),0.0% (0 / 1),0.0% (0 / 1),0.0% (0 / 8),0.0% (0 / 2),0.0% (0 / 9),0.0% (0 / 4),0.0% (0 / 8),0.0% (0 / 1)
M254 ,SP.A.7745,Lys.A.1529,Lib.G.781,1576441,1069346,309601,35915,8.31,451,2.1,37,16.9,27.6-47.2,10.7-25.0,Yes,100,**100.0% (40 / 40),**100.0% (11 / 11),0.0% (0 / 41),0.0% (0 / 10),3.2% (1 / 31),0.0% (0 / 5),0.0% (0 / 37),0.0% (0 / 12),0.0% (0 / 89),0.0% (0 / 23),0.0% (0 / 57),0.0% (0 / 13),0.0% (0 / 92),0.0% (0 / 21)
M253 ,SP.A.7744,Lys.A.1528,Lib.G.780,193854,36838,5689,4108,16.28,14,1,NA,50,NA,1.3-98.7,No,1,**100.0% (4 / 4),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 2),0.0% (0 / 1),0.0% (0 / 5),NA% (0 / 0),0.0% (0 / 5),NA% (0 / 0)
M253 ,SP.A.7744,Lys.A.1528,Lib.G.780,1430677,963804,289393,32503,9.01,340,1.56,27.2,20,18.4-37.4,12.1-30.1,Yes,61,**88.2% (30 / 34),**66.7% (4 / 6),3.2% (1 / 31),0.0% (0 / 4),11.1% (2 / 18),50.0% (1 / 2),2.8% (1 / 36),12.5% (1 / 8),2.7% (2 / 73),7.1% (1 / 14),1.9% (1 / 54),9.1% (1 / 11),0.0% (0 / 61),0.0% (0 / 10)
M252 ,SP.A.7743,Lys.A.1527,Lib.G.779,1649362,1078076,331055,32089,26.95,1208,3.25,29.8,16.1,24.9-35.1,12.1-20.7,Yes,211,**97.7% (126 / 129),**100.0% (16 / 16),1.6% (2 / 127),0.0% (0 / 27),1.7% (1 / 59),8.3% (1 / 12),0.0% (0 / 98),0.0% (0 / 16),0.9% (2 / 225),0.0% (0 / 41),0.5% (1 / 192),0.0% (0 / 29),1.0% (3 / 293),2.0% (1 / 49)
M251 ,SP.A.7742,Lys.A.1526,Lib.G.778,1576987,1010516,301717,31795,27.15,1154,3.21,33.8,16.2,28.8-39.2,12.1-21.1,Yes,250,**100.0% (100 / 100),**100.0% (17 / 17),0.0% (0 / 106),0.0% (0 / 29),0.0% (0 / 61),0.0% (0 / 18),0.0% (0 / 86),0.0% (0 / 12),0.4% (1 / 246),0.0% (0 / 51),0.6% (1 / 159),0.0% (0 / 37),1.3% (3 / 236),0.0% (0 / 50)
M251 ,SP.A.7742,Lys.A.1526,Lib.G.2775,870741,668558,149029,16542,31.96,482,4.27,29.5,20.2,21.6-38.4,13.6-28.1,Yes,93,**100.0% (48 / 48),**100.0% (10 / 10),0.0% (0 / 60),0.0% (0 / 15),11.5% (3 / 26),0.0% (0 / 2),0.0% (0 / 42),0.0% (0 / 10),0.0% (0 / 97),0.0% (0 / 26),1.4% (1 / 71),0.0% (0 / 15),0.0% (0 / 135),0.0% (0 / 29)
M250 ,SP.A.7741,Lys.A.1525,Lib.G.777,1812299,1227544,371212,39074,4.5,249,1.65,43.1,27.9,30.8-56.0,17.1-40.8,Yes,68,6.7% (1 / 15),0.0% (0 / 2),**88.2% (15 / 17),**83.3% (5 / 6),**87.5% (7 / 8),50.0% (1 / 2),0.0% (0 / 18),0.0% (0 / 5),0.0% (0 / 36),0.0% (0 / 14),0.0% (0 / 37),0.0% (0 / 11),1.6% (1 / 62),0.0% (0 / 14)
M250 ,SP.A.7741,Lys.A.1525,Lib.G.777,261817,48941,7503,5065,4.49,7,1,25,33.3,0.6-80.6,0.8-90.6,No,2,0.0% (0 / 1),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0)
M250 ,SP.A.7741,Lys.B.616,Lib.G.5414,3254169,2531932,645196,41253,2.86,158,1.63,39.5,23.5,24.0-56.6,12.8-37.5,Yes,31,33.3% (2 / 6),0.0% (0 / 1),**88.9% (8 / 9),50.0% (1 / 2),50.0% (1 / 2),NA% (0 / 0),0.0% (0 / 17),0.0% (0 / 2),5.3% (1 / 19),0.0% (0 / 3),4.8% (1 / 21),20.0% (1 / 5),4.2% (1 / 24),0.0% (0 / 5)
M250 ,SP.A.7741,Lys.B.618,Lib.G.5416,3068329,2439359,605116,38892,7.29,349,1.99,29.8,24.2,20.3-40.7,16.0-34.1,Yes,73,6.2% (2 / 32),0.0% (0 / 9),**87.5% (21 / 24),**100.0% (3 / 3),**100.0% (14 / 14),100.0% (2 / 2),0.0% (0 / 25),0.0% (0 / 4),0.0% (0 / 51),0.0% (0 / 5),0.0% (0 / 51),0.0% (0 / 13),2.9% (2 / 70),6.2% (1 / 16)
M250 ,SP.A.7741,Lys.B.619,Lib.G.5417,2560493,1998634,536898,37511,4.56,189,1.64,33.3,37.2,20.4-48.4,23.0-53.3,Yes,40,0.0% (0 / 7),0.0% (0 / 1),**75.0% (9 / 12),NA% (0 / 0),**77.8% (7 / 9),100.0% (1 / 1),0.0% (0 / 11),0.0% (0 / 2),5.4% (2 / 37),0.0% (0 / 8),2.6% (1 / 38),0.0% (0 / 4),2.1% (1 / 47),9.1% (1 / 11)
M250 ,SP.A.7741,Lys.B.620,Lib.G.5418,4711569,3608242,873066,43793,4.2,237,1.83,50,23.7,35.8-64.2,13.6-36.6,Yes,57,12.5% (2 / 16),0.0% (0 / 4),**86.7% (13 / 15),**100.0% (3 / 3),**78.6% (11 / 14),66.7% (2 / 3),0.0% (0 / 18),0.0% (0 / 3),2.0% (1 / 51),0.0% (0 / 9),0.0% (0 / 34),0.0% (0 / 7),4.9% (2 / 41),13.3% (2 / 15)
M250 ,SP.A.7741,Lys.B.621,Lib.G.5419,3309007,2639189,716534,41754,12.46,673,1.68,45.3,20.3,37.8-52.8,14.3-27.4,Yes,172,9.5% (4 / 42),20.0% (2 / 10),**87.2% (34 / 39),**80.0% (8 / 10),**87.0% (20 / 23),**100.0% (3 / 3),0.0% (0 / 57),0.0% (0 / 16),6.3% (7 / 111),8.3% (2 / 24),1.3% (1 / 78),0.0% (0 / 15),7.9% (11 / 140),13.5% (5 / 37)
M249 ,SP.A.7740,Lys.A.1524,Lib.G.776,401917,72956,12010,6847,0,0,NA,NA,NA,NA,NA,No,0,NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0)
M249 ,SP.A.7740,Lys.A.1524,Lib.G.776,1052734,696928,216536,31728,2.1,85,1.67,50,28,28.2-71.8,12.1-49.4,Yes,24,**100.0% (3 / 3),NA% (0 / 0),14.3% (1 / 7),0.0% (0 / 2),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 5),0.0% (0 / 1),**55.6% (10 / 18),**100.0% (4 / 4),0.0% (0 / 9),0.0% (0 / 4),**56.2% (9 / 16),50.0% (1 / 2)
M249 ,SP.A.7740,Lys.A.1524,Lib.G.2774,1556384,1256434,294153,25740,1.82,39,2.03,16.7,14.3,0.4-64.1,0.4-57.9,No,4,0.0% (0 / 3),NA% (0 / 0),25.0% (1 / 4),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 3),NA% (0 / 0),**100.0% (3 / 3),100.0% (2 / 2),0.0% (0 / 11),NA% (0 / 0),50.0% (2 / 4),NA% (0 / 0)
M248 ,SP.A.7739,Lys.A.1523,Lib.G.775,254162,48763,6508,4312,5.34,7,1,NA,0,NA,0.0-84.2,No,1,NA% (0 / 0),NA% (0 / 0),50.0% (1 / 2),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),50.0% (1 / 2),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 3),NA% (0 / 0)
