Project Name,Site Name,Site Id,Site Country,Site Coordinates,Layer Name,Layer Parent,Layer Profile,Layer Colour,Layer Texture,Layer Age,Layer Umbrella Culture,Layer Culture,Layer Culture (Mixed),Layer Epoch,Sample Batch Name,Sample Batch Arrival,Fossil Remain,Sample Name,Sample Synonyms,Sample Type,Sample Year of Collection,Sample Provenience,Sample Age,Sample Age Upper,Sample Age Lower,Lysate,ENC Batch,Library,Molecules (qPCR),Efficiency,LNC Batch,Capture,Capture Probe,Sequencing Run,Sequencing Lane,Sequencing Pool,Tag,QC,quicksand version,ReadsRaw,ReadsLengthfiltered,ReadsIdentified,ReadsMapped,ReadsDeduped,DuplicationRate,ReadsBedfiltered,SeqsInAncientTaxa,Ancient,AncientTaxa,OtherTaxa,Subsitutions,QS_ver,CC_reads,CC_percent,RawSeqs,FilteredL35,Identified,%Hominid,Mapped,%Mapped,Unique,Duplication_Rate,5'CT,3'CT,5'CT(95%CI),3'CT(95%CI),cond5'CT(95%CI),cond3'CT(95%CI),MM_Ancient,Deaminated(term3),H_support,H_support_deam,N-HST_support,N-HST_support_deam,N_support,N_support_deam,HST_support,HST_support_deam,D-S_support,D-S_support_deam,D_support,D_support_deam,S_support,S_support_deam,H_der,H_deam_der,N-HST_der,N-HST_deam_der,N_der,N_deam_der,HST_der,HST_deam_der,D-S_der,D-S_deam_der,D_der,D_deam_der,S_der,S_deam_der
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 11.3,Layer 11,Main Chamber,,,"49,000 - 35,000 years",Upper Paleolithic,Initial Upper Paleolithic,,,2018 Excavation,2018,,SP.A.7745,freshkills id:SP6908;Field Id:M254,Sediment,2018,,"49,000 - 35,000 years",49000,35000,Lys.A.1529,LyB-20180128-EZ,Lib.G.781,144287500000,77.2,Pl_289,Cap.E.6745,AA75,190228_D00829_0224,lane2,P.A.862,Screening,Pass,v2.3,1541549,1103078,277635,230684,172127,1.34,167197,172127,++,Bovidae(33942[18.41%]) Canidae(9963[5.48%]) Cervidae(5972[3.26%]) Elephantidae(1833[1.01%]) Equidae(37622[21.0%]) Felidae(1756[0.96%]) Hyaenidae(67941[37.05%]) Rhinocerotidae(4332[2.41%]) Ursidae(8766[4.76%]),-,"Bovidae(37.8[36.7-38.9],21.9[21.0-22.9]) Canidae(38.8[36.8-40.9],21.7[20.0-23.5]) Cervidae(38.9[36.3-41.5],22.2[20.0-24.5]) Elephantidae(43.6[38.7-48.6],26.0[22.0-30.4]) Equidae(41.7[40.7-42.7],23.5[22.6-24.4]) Felidae(39.0[34.3-43.9],29.4[25.4-33.7]) Hyaenidae(36.0[35.2-36.7],20.0[19.4-20.7]) Rhinocerotidae(41.8[38.7-45.0],26.3[23.5-29.2]) Ursidae(38.4[36.2-40.7],22.6[20.8-24.5])",2.3,0.0,0.0,1541549,1526271,550,0.1,166,30.2,128,1.3,43.5,12.1,23.2-65.5,3.4-28.2,2.5-100.0,0.8-90.6,+,25,100.0% (1 / 1),NA% (0 / 0),0.0% (0 / 1),0.0% (0 / 1),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 11),0.0% (0 / 1),^^85.2% (46 / 54),^^75.0% (9 / 12),0.0% (0 / 26),0.0% (0 / 4),0.0% (0 / 3),0.0% (0 / 1),(8065:1),,,,,,,,(2955:46),(2955:9),,,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 11.2,Layer 11,Main Chamber,,,"49,000 - 35,000 years",Upper Paleolithic,Initial Upper Paleolithic,,,2018 Excavation,2018,,SP.A.7746,freshkills id:SP6909;Field Id:M255,Sediment,2018,,"49,000 - 35,000 years",49000,35000,Lys.A.1530,LyB-20180128-EZ,Lib.G.782,127350000000,79.34,Pl_289,Cap.E.6746,AA75,190228_D00829_0224,lane2,P.A.862,Screening,Pass,v2.3,1629364,1143356,318532,239395,181206,1.32,175947,181206,++,Bovidae(29766[15.63%]) Canidae(1271[0.66%]) Cervidae(2135[1.11%]) Elephantidae(1091[0.58%]) Equidae(4443[2.37%]) Felidae(48764[25.4%]) Hyaenidae(71810[37.4%]) Rhinocerotidae(19749[10.48%]) Ursidae(2177[1.13%]),-,"Bovidae(36.9[35.8-38.1],17.9[17.0-18.8]) Canidae(37.7[32.0-43.7],21.7[17.2-26.8]) Cervidae(41.3[36.9-45.8],22.6[19.0-26.7]) Elephantidae(42.4[35.9-49.2],25.7[20.3-31.7]) Equidae(37.1[34.1-40.1],21.2[18.8-23.7]) Felidae(37.0[36.1-37.8],20.7[20.0-21.5]) Hyaenidae(32.0[31.3-32.7],17.4[16.8-17.9]) Rhinocerotidae(39.2[37.8-40.6],22.0[20.8-23.2]) Ursidae(36.0[31.8-40.4],21.2[17.7-25.1])",2.3,1.7,0.000105,1629364,1611697,394,0.0,70,17.8,56,1.25,36.4,9.1,10.9-69.2,0.2-41.3,0.0-97.5,0.0-97.5,+,6,NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 2),0.0% (0 / 1),0.0% (0 / 2),NA% (0 / 0),^^60.0% (6 / 10),50.0% (1 / 2),0.0% (0 / 8),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),,,,,,,,,(2955:6),(2955:1),,,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 11.2,Layer 11,Main Chamber,,,"49,000 - 35,000 years",Upper Paleolithic,Initial Upper Paleolithic,,,2018 Excavation,2018,,SP.A.7747,freshkills id:SP6910;Field Id:M256,Sediment,2018,,"49,000 - 35,000 years",49000,35000,Lys.A.1531,LyB-20180128-EZ,Lib.G.783,134037500000,72.54,Pl_289,Cap.E.6747,AA75,190228_D00829_0224,lane2,P.A.862,Screening,Pass,v2.3,1575238,1100186,272906,239447,161801,1.48,156480,161801,++,Bovidae(33350[19.18%]) Canidae(1489[0.87%]) Cervidae(1743[1.02%]) Elephantidae(2041[1.2%]) Equidae(4402[2.61%]) Hyaenidae(102101[59.19%]) Rhinocerotidae(15107[8.94%]) Ursidae(1568[0.9%]),-,"Bovidae(32.6[31.6-33.7],16.9[16.0-17.7]) Canidae(36.3[31.1-41.9],19.9[15.9-24.4]) Cervidae(47.0[42.0-52.1],20.3[16.5-24.6]) Elephantidae(37.6[33.2-42.2],22.1[18.3-26.2]) Equidae(42.3[39.3-45.4],21.2[18.8-23.7]) Hyaenidae(30.9[30.3-31.5],14.3[13.9-14.7]) Rhinocerotidae(37.5[36.0-39.1],18.6[17.4-19.9]) Ursidae(35.9[31.0-41.1],19.2[15.6-23.3])",2.3,21.0,0.001332,1575238,1556264,476,0.1,105,22.1,87,1.21,40.9,15.2,20.7-63.6,5.1-31.9,N/A-N/A,0.0-84.2,+,22,100.0% (1 / 1),NA% (0 / 0),0.0% (0 / 4),0.0% (0 / 2),0.0% (0 / 3),NA% (0 / 0),0.0% (0 / 8),NA% (0 / 0),20.0% (3 / 15),33.3% (2 / 6),0.0% (0 / 19),0.0% (0 / 4),0.0% (0 / 5),0.0% (0 / 2),(2523:1),,,,,,,,(2955:3),(2955:2),,,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 11.2,Layer 11,Main Chamber,,,"49,000 - 35,000 years",Upper Paleolithic,Initial Upper Paleolithic,,,2018 Excavation,2018,,SP.A.7748,freshkills id:SP6911;Field Id:M257,Sediment,2018,,"49,000 - 35,000 years",49000,35000,Lys.A.1532,LyB-20180128-EZ,Lib.G.784,106487500000,70.9,Pl_289,Cap.E.6748,AA75,190228_D00829_0224,lane2,P.A.862,Screening,Pass,v2.3,1462563,1016031,235613,177589,124568,1.43,121118,124568,++,Bovidae(22829[17.2%]) Canidae(2675[2.01%]) Cervidae(5352[4.04%]) Elephantidae(2212[1.68%]) Equidae(17263[13.24%]) Felidae(1161[0.88%]) Hyaenidae(64263[48.1%]) Rhinocerotidae(5555[4.24%]) Ursidae(3258[2.45%]),-,"Bovidae(37.2[35.8-38.5],19.5[18.4-20.6]) Canidae(42.3[38.4-46.3],22.1[19.0-25.5]) Cervidae(43.4[40.6-46.2],21.8[19.6-24.3]) Elephantidae(37.0[32.7-41.4],25.1[21.4-29.1]) Equidae(38.1[36.7-39.6],20.8[19.6-22.0]) Felidae(42.5[36.6-48.5],27.7[22.9-33.0]) Hyaenidae(35.7[35.0-36.5],18.9[18.2-19.5]) Rhinocerotidae(39.3[36.6-41.9],24.1[21.9-26.5]) Ursidae(37.8[34.4-41.3],22.4[19.5-25.5])",2.3,0.0,0.0,1462563,1444684,628,0.1,186,29.6,136,1.37,36.4,11.4,20.4-54.9,3.2-26.7,N/A-N/A,0.0-60.2,+,23,^^^90.0% (9 / 10),NA% (0 / 0),0.0% (0 / 3),0.0% (0 / 1),0.0% (0 / 5),NA% (0 / 0),0.0% (0 / 9),0.0% (0 / 2),^^39.6% (21 / 53),^37.5% (3 / 8),0.0% (0 / 24),0.0% (0 / 6),0.0% (0 / 15),0.0% (0 / 4),(2831:1)(4904:1)(4940:1)(5840:1)(6452:1)(7891:1)(8503:1)(12474:1)(13359:1),,,,,,,,(2955:20)(7789:1),(2955:3),,,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 11.2,Layer 11,Main Chamber,,,"49,000 - 35,000 years",Upper Paleolithic,Initial Upper Paleolithic,,,2018 Excavation,2018,,SP.A.7749,freshkills id:SP6912;Field Id:M258,Sediment,2018,,"49,000 - 35,000 years",49000,35000,Lys.A.1533,LyB-20180128-EZ,Lib.G.785,70975000000,30.21,Pl_289,Cap.E.6749,AA75,190228_D00829_0224,lane2,P.A.862,Screening,Pass,v2.3,1498050,1042640,258796,198694,136604,1.45,132109,136604,++,Bovidae(40377[27.64%]) Canidae(4557[3.16%]) Cervidae(4994[3.4%]) Elephantidae(1202[0.84%]) Equidae(9310[6.57%]) Felidae(1170[0.8%]) Hyaenidae(66759[45.98%]) Rhinocerotidae(5115[3.6%]) Ursidae(3120[2.14%]),-,"Bovidae(39.2[38.2-40.1],20.0[19.2-20.7]) Canidae(42.2[39.3-45.1],21.2[18.9-23.6]) Cervidae(45.8[43.1-48.6],22.2[20.0-24.6]) Elephantidae(45.7[39.7-51.9],27.4[22.6-32.6]) Equidae(39.5[37.6-41.5],21.8[20.3-23.5]) Felidae(43.7[37.8-49.6],23.0[18.6-27.9]) Hyaenidae(36.7[36.0-37.4],18.2[17.6-18.7]) Rhinocerotidae(41.2[38.6-43.8],23.1[20.9-25.4]) Ursidae(40.4[37.0-43.9],23.7[20.8-26.9])",2.3,1.3,8.8e-05,1498050,1481187,605,0.1,181,29.9,137,1.32,35.3,22.7,19.7-53.5,11.5-37.8,0.0-70.8,0.0-60.2,++,30,^^^81.8% (9 / 11),0.0% (0 / 1),0.0% (0 / 3),0.0% (0 / 1),0.0% (0 / 3),0.0% (0 / 1),0.0% (0 / 6),NA% (0 / 0),^15.4% (6 / 39),11.1% (1 / 9),0.0% (0 / 15),0.0% (0 / 3),0.0% (0 / 14),0.0% (0 / 3),(2056:1)(2523:4)(6641:1)(12474:1)(13095:1)(15355:1),,,,,,,,(2955:5)(12756:1),(2955:1),,,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 9,,Main Chamber,,,"40,000 - 13,000 years",Upper Paleolithic,Upper Paleolithic,,,2018 Excavation,2018,,SP.A.7750,freshkills id:SP6913;Field Id:M259,Sediment,2018,,"40,000 - 13,000 years",40000,13000,Lys.A.1534,LyB-20180128-EZ,Lib.G.786,38000000000,88.63,Pl_289,Cap.E.6750,AA75,190228_D00829_0224,lane2,P.A.862,Screening,Pass,v2.3,1653682,984380,151203,132902,35458,3.75,34314,35458,++,Bovidae(6530[17.38%]) Canidae(520[1.39%]) Cervidae(1646[4.39%]) Elephantidae(1056[2.82%]) Equidae(1382[3.77%]) Hyaenidae(21415[56.69%]) Rhinocerotidae(1597[4.31%]) Ursidae(1312[3.49%]),-,"Bovidae(43.5[41.1-45.9],29.2[26.9-31.5]) Canidae(43.5[34.3-53.0],32.8[24.7-41.8]) Cervidae(52.4[47.5-57.2],32.6[28.0-37.4]) Elephantidae(43.5[37.5-49.6],32.1[26.2-38.4]) Equidae(47.1[41.6-52.7],25.3[20.8-30.2]) Hyaenidae(43.8[42.5-45.1],28.5[27.3-29.7]) Rhinocerotidae(43.4[38.4-48.4],28.6[24.3-33.3]) Ursidae(44.3[38.8-49.9],24.8[20.0-30.0])",2.3,3.4,0.000204,1653682,1629204,596,0.1,233,39.1,50,4.66,12.5,0.0,0.3-52.7,0.0-20.6,N/A-N/A,0.0-97.5,-,3,^^^100.0% (7 / 7),NA% (0 / 0),0.0% (0 / 4),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 9),NA% (0 / 0),0.0% (0 / 11),NA% (0 / 0),0.0% (0 / 15),NA% (0 / 0),0.0% (0 / 11),NA% (0 / 0),(5580:1)(6452:1)(8021:1)(8065:1)(10324:2)(13656:1),,,,,,,,,,,,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 9,,Main Chamber,,,"40,000 - 13,000 years",Upper Paleolithic,Upper Paleolithic,,,2018 Excavation,2018,,SP.A.7751,freshkills id:SP6914;Field Id:M260,Sediment,2018,,"40,000 - 13,000 years",40000,13000,Lys.A.1535,LyB-20180128-EZ,Lib.G.787,9710000000,57.05,Pl_289,Cap.E.6751,AA75,190228_D00829_0224,lane2,P.A.862,Screening,Pass,v2.3,1479937,854070,2546,1918,56,34.25,26,0,-,-,Bovidae(10[17.85%]) Hominidae(30[53.57%]) Hyaenidae(16[28.57%]),"Bovidae(0.0[0.0-45.9],0.0[0.0-70.8]) Hominidae(0.0[0.0-28.5],0.0[0.0-60.2]) Hyaenidae(66.7[9.4-99.2],50.0[6.8-93.2])",2.3,53.5,0.003617,1479937,1452220,954,53.6,743,77.9,30,24.77,0.0,0.0,0.0-28.5,0.0-60.2,N/A-N/A,N/A-N/A,-,0,100.0% (1 / 1),NA% (0 / 0),0.0% (0 / 3),NA% (0 / 0),0.0% (0 / 5),NA% (0 / 0),0.0% (0 / 6),NA% (0 / 0),0.0% (0 / 7),NA% (0 / 0),0.0% (0 / 10),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),(9869:1),,,,,,,,,,,,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 12.3,Layer 12,Main Chamber,,,"78,000 - 52,000 years",Middle Palaeolithic,Altai Middle Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7752,freshkills id:SP6915;Field Id:M261,Sediment,2018,,"78,000 - 52,000 years",78000,52000,Lys.A.1536,LyB-20180128-EZ,Lib.G.788,42600000000,26.45,Pl_289,Cap.E.6752,AA75,190228_D00829_0224,lane2,P.A.862,Screening,Pass,v2.3,1774645,1160126,296221,267507,171787,1.56,166562,171787,++,Bovidae(26944[14.75%]) Canidae(1257[0.69%]) Cervidae(49440[27.25%]) Elephantidae(5128[2.86%]) Equidae(20197[11.39%]) Hyaenidae(65744[36.15%]) Rhinocerotidae(3077[1.73%]),-,"Bovidae(44.7[43.5-46.0],24.5[23.5-25.6]) Canidae(42.7[36.6-49.0],27.0[22.1-32.3]) Cervidae(49.9[49.0-50.9],28.4[27.5-29.2]) Elephantidae(46.7[43.9-49.6],26.7[24.2-29.3]) Equidae(42.3[40.9-43.7],23.4[22.3-24.5]) Hyaenidae(41.1[40.4-41.9],22.2[21.6-22.9]) Rhinocerotidae(45.5[41.9-49.2],29.9[26.7-33.2])",2.3,54.7,0.003083,1774645,1755925,509,0.0,112,22.0,68,1.65,33.3,22.2,14.6-57.0,8.6-42.3,0.8-90.6,0.6-80.6,+,21,50.0% (1 / 2),0.0% (0 / 1),0.0% (0 / 2),0.0% (0 / 2),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),^^^91.7% (11 / 12),^^100.0% (2 / 2),0.0% (0 / 4),NA% (0 / 0),33.3% (1 / 3),0.0% (0 / 1),(6641:1),,,,,,,,(868:1)(2955:9)(12630:1),(2955:2),,,(6614:1),
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 12.2,Layer 12,Main Chamber,,,"78,000 - 52,000 years",Middle Palaeolithic,Altai Middle Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7753,freshkills id:SP6916;Field Id:M262,Sediment,2018,,"78,000 - 52,000 years",78000,52000,Lys.A.1537,LyB-20180128-EZ,Lib.G.789,292875000000,110.33,Pl_289,Cap.E.6753,AA75,190228_D00829_0224,lane2,P.A.862,Screening,Pass,v2.3,1517279,1080051,300403,212550,158452,1.34,153969,158452,++,Bovidae(36808[21.88%]) Canidae(2519[1.49%]) Cervidae(11165[6.63%]) Elephantidae(4034[2.42%]) Equidae(14086[8.53%]) Felidae(3201[1.9%]) Hyaenidae(77796[45.97%]) Rhinocerotidae(7614[4.59%]) Ursidae(1229[0.72%]),-,"Bovidae(39.3[38.2-40.3],21.2[20.3-22.0]) Canidae(50.0[45.8-54.2],25.3[22.0-28.9]) Cervidae(42.4[40.6-44.3],24.6[22.9-26.3]) Elephantidae(47.9[44.7-51.1],26.4[23.7-29.3]) Equidae(45.6[44.0-47.2],23.9[22.5-25.3]) Felidae(43.6[40.2-47.2],26.0[23.1-29.0]) Hyaenidae(41.0[40.3-41.7],22.2[21.6-22.8]) Rhinocerotidae(44.0[41.9-46.2],25.9[23.9-27.9]) Ursidae(39.4[33.6-45.3],26.2[21.2-31.7])",2.3,1.3,8.8e-05,1517279,1506191,418,0.0,70,16.7,57,1.23,50.0,19.0,23.0-77.0,5.4-41.9,0.0-84.2,0.0-97.5,+,15,NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 3),0.0% (0 / 1),^^66.7% (8 / 12),^^100.0% (3 / 3),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),,,,,,,,,(2955:8),(2955:3),,,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 12.1,Layer 12,Main Chamber,,,"78,000 - 52,000 years",Middle Palaeolithic,Altai Middle Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7754,freshkills id:SP6917;Field Id:M263,Sediment,2018,,"78,000 - 52,000 years",78000,52000,Lys.A.1538,LyB-20180128-EZ,Lib.G.790,284625000000,96.69,Pl_289,Cap.E.6754,AA75,190228_D00829_0224,lane2,P.A.862,Screening,Pass,v2.3,1562750,1157934,339456,244079,185376,1.32,180079,185376,++,Bovidae(66597[33.8%]) Canidae(2451[1.25%]) Cervidae(10471[5.33%]) Elephantidae(2479[1.28%]) Equidae(8112[4.21%]) Hyaenidae(81722[41.35%]) Rhinocerotidae(11906[6.13%]) Ursidae(1638[0.83%]),-,"Bovidae(39.7[38.9-40.5],20.1[19.5-20.8]) Canidae(45.9[41.8-50.0],25.7[22.2-29.5]) Cervidae(42.5[40.6-44.5],22.4[20.7-24.1]) Elephantidae(43.6[39.6-47.7],23.5[20.3-27.0]) Equidae(45.4[43.2-47.6],25.6[23.7-27.5]) Hyaenidae(37.7[37.0-38.3],19.8[19.2-20.3]) Rhinocerotidae(43.9[42.2-45.7],23.9[22.4-25.5]) Ursidae(37.0[32.0-42.3],23.7[19.5-28.2])",2.3,5.6,0.000358,1562750,1549192,336,0.0,37,11.0,33,1.12,40.0,27.3,5.3-85.3,6.0-61.0,N/A-N/A,0.0-97.5,-,7,NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 3),NA% (0 / 0),^^66.7% (4 / 6),100.0% (1 / 1),0.0% (0 / 6),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),,,,,,,,,(2955:4),(2955:1),,,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 11.4,Layer 11,Main Chamber,,,"49,000 - 35,000 years",Upper Paleolithic,Initial Upper Paleolithic,,,2018 Excavation,2018,,SP.A.7755,freshkills id:SP6918;Field Id:M264,Sediment,2018,,"49,000 - 35,000 years",49000,35000,Lys.A.1539,LyB-20180128-EZ,Lib.G.791,114387500000,65.9,Pl_289,Cap.E.6755,AA75,190228_D00829_0224,lane2,P.A.862,Screening,Pass,v2.3,1798363,1271568,345085,307071,197883,1.55,192023,197883,++,Bovidae(15281[7.28%]) Canidae(9200[4.37%]) Cervidae(1842[0.88%]) Equidae(30274[14.71%]) Hyaenidae(138278[65.53%]) Rhinocerotidae(1751[0.85%]) Ursidae(1257[0.59%]),-,"Bovidae(36.9[35.3-38.5],19.6[18.3-21.0]) Canidae(34.0[32.0-36.0],17.1[15.5-18.7]) Cervidae(43.9[39.4-48.6],20.0[16.4-24.1]) Equidae(33.0[31.9-34.1],19.0[18.1-19.9]) Hyaenidae(28.3[27.9-28.8],13.8[13.4-14.2]) Rhinocerotidae(36.4[31.8-41.2],28.4[24.3-32.8]) Ursidae(31.7[26.5-37.2],26.1[21.4-31.3])",2.3,0.0,0.0,1798363,1780435,489,0.1,137,28.0,115,1.19,50.0,18.4,29.1-70.9,7.7-34.3,0.0-70.8,0.0-60.2,+,31,^^100.0% (2 / 2),^^100.0% (2 / 2),0.0% (0 / 5),0.0% (0 / 2),0.0% (0 / 4),0.0% (0 / 2),0.0% (0 / 4),NA% (0 / 0),^^57.6% (19 / 33),^^55.6% (5 / 9),0.0% (0 / 17),0.0% (0 / 3),0.0% (0 / 14),0.0% (0 / 4),(6452:2),(6452:2),,,,,,,(2955:19),(2955:5),,,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 11.4,Layer 11,Main Chamber,,,"49,000 - 35,000 years",Upper Paleolithic,Initial Upper Paleolithic,,,2018 Excavation,2018,,SP.A.7756,freshkills id:SP6919;Field Id:M265,Sediment,2018,,"49,000 - 35,000 years",49000,35000,Lys.A.1540,LyB-20180128-EZ,Lib.G.792,76375000000,42.46,Pl_289,Cap.E.6756,AA75,190228_D00829_0224,lane2,P.A.862,Screening,Pass,v2.3,1525878,1040702,270234,227221,160843,1.41,155535,160843,++,Bovidae(59907[35.0%]) Canidae(3613[2.12%]) Cervidae(11075[6.55%]) Elephantidae(1223[0.73%]) Equidae(5238[3.15%]) Hyaenidae(73299[43.01%]) Rhinocerotidae(5082[3.03%]) Ursidae(1406[0.81%]),-,"Bovidae(35.3[34.5-36.2],16.7[16.1-17.3]) Canidae(38.9[35.5-42.4],19.2[16.6-22.0]) Cervidae(41.4[39.4-43.3],20.1[18.6-21.7]) Elephantidae(45.0[38.9-51.1],22.2[17.7-27.1]) Equidae(36.3[33.6-39.0],20.0[17.9-22.2]) Hyaenidae(34.5[33.8-35.2],16.2[15.7-16.7]) Rhinocerotidae(40.4[37.7-43.1],22.5[20.1-24.9]) Ursidae(34.3[29.1-39.8],18.6[14.6-23.1])",2.3,15.2,0.000999,1525878,1509430,385,0.0,68,17.7,54,1.26,42.9,11.8,17.7-71.1,1.5-36.4,2.5-100.0,0.8-90.6,+,9,^^^100.0% (3 / 3),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 5),NA% (0 / 0),6.2% (1 / 16),0.0% (0 / 6),0.0% (0 / 14),0.0% (0 / 1),0.0% (0 / 7),0.0% (0 / 2),(6452:1)(10307:1)(10324:1),,,,,,,,(2955:1),,,,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 11.4,Layer 11,Main Chamber,,,"49,000 - 35,000 years",Upper Paleolithic,Initial Upper Paleolithic,,,2018 Excavation,2018,,SP.A.7757,freshkills id:SP6920;Field Id:M266,Sediment,2018,,"49,000 - 35,000 years",49000,35000,Lys.A.1541,LyB-20180128-EZ,Lib.G.793,79800000000,54.32,Pl_289,Cap.E.6757,AA75,190228_D00829_0224,lane2,P.A.862,Screening,Pass,v2.3,1528992,1078825,307743,203909,139747,1.46,135146,139747,++,Bovidae(31899[20.95%]) Canidae(991[0.66%]) Cervidae(4303[2.88%]) Equidae(4462[3.02%]) Hyaenidae(94260[62.28%]) Rhinocerotidae(3017[2.02%]) Ursidae(815[0.53%]),-,"Bovidae(26.8[25.7-27.9],14.8[14.0-15.6]) Canidae(38.9[32.3-45.7],23.2[18.1-28.9]) Cervidae(37.0[34.1-40.0],16.6[14.4-19.1]) Equidae(37.9[35.0-40.8],18.7[16.5-21.0]) Hyaenidae(31.4[30.8-32.0],15.8[15.3-16.3]) Rhinocerotidae(40.1[36.6-43.8],18.1[15.6-20.8]) Ursidae(33.5[27.1-40.4],25.6[20.0-31.8])",2.3,1.6,0.000104,1528992,1514193,387,0.1,89,23.0,78,1.14,36.8,0.0,16.3-61.6,0.0-13.2,N/A-N/A,0.0-84.2,+,19,^^^100.0% (4 / 4),^^100.0% (2 / 2),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 3),0.0% (0 / 1),0.0% (0 / 5),0.0% (0 / 2),^25.0% (5 / 20),33.3% (2 / 6),10.0% (1 / 10),25.0% (1 / 4),0.0% (0 / 10),0.0% (0 / 1),(2056:1)(6452:1)(12474:1)(15443:1),(2056:1)(15443:1),,,,,,,(2955:4)(3496:1),(2955:2),(3832:1),(3832:1),,
